o,Sit,11,Martellus Bennett
n,Sit,11,Larry Donnell
n,Sit,11,Zach Ertz
n,Sit,11,Heath Miller
n,Sit,11,Jermaine Gresham
o,Start,10,Greg Olsen
n,Start,10,Larry Donnell
n,Start,10,Owen Daniels
n,Start,10,Jason Witten
n,Start,10,Heath Miller
o,Sit,10,Vernon Davis
n,Sit,10,Delanie Walker
n,Sit,10,Zach Ertz
n,Sit,10,Jared Cook
n,Sit,10,Travis Kelce
o,Start,10,Julio Jones
n,Start,10,Kelvin Benjamin
n,Start,10,Larry Fitzgerald
n,Start,10,Vincent Jackson
n,Start,10,Dwayne Bowe
o,Sit,10,Percy Harvin
n,Sit,10,Mike Wallace
n,Sit,10,Rueben Randle
n,Sit,10,Doug Baldwin
n,Sit,10,Allen Robinson
o,Start,10,Ronnie Hillman
n,Start,10,Andre Ellington
n,Start,10,Justin Forsett
n,Start,10,Bobby Rainey
n,Start,10,Denard Robinson
o,Sit,10,Lamar Miller
n,Sit,10,Frank Gore
n,Sit,10,Reggie Bush
n,Sit,10,Andre Williams
n,Sit,10,Tre Mason
o,Start,10,Colin Kaepernick
n,Start,10,Ben Roethlisberger
n,Start,10,Russell Wilson
n,Start,10,Cam Newton
n,Start,10,Matt Ryan
o,Sit,10,Jay Cutler
n,Sit,10,Ryan Tannehill
n,Sit,10,Eli Manning
n,Sit,10,Michael Vick
n,Sit,10,Alex Smith
o,Start,10,Arizona Cardinals
n,Start,10,Dallas Cowboys
n,Start,10,Denver Broncos
n,Start,10,Green Bay Packers
o,Sit,10,St. Louis Rams
n,Sit,10,San Francisco 49ers
n,Sit,10,Chicago Bears
n,Sit,10,New York Giants
o,Start,10,Mason Crosby
n,Start,10,Dan Bailey
n,Start,10,Brandon McManus
n,Start,10,Matt Bryant
o,Sit,10,Matt Prater
n,Sit,10,Shayne Graham
n,Sit,10,Robbie Gould
n,Sit,10,Caleb Sturgis
o,Start,9,Ahmad Bradshaw
n,Start,9,Alfred Morris
n,Start,9,Ronnie Hillman
n,Start,9,Branden Oliver
n,Start,9,Jeremy Hill
o,Sit,9,Chris Ivory
n,Sit,9,Zac Stacy
n,Sit,9,Jerick McKinnon
n,Sit,9,Darren McFadden
n,Sit,9,Jonas Gray
o,Start,9,Cincinnati Bengals
n,Start,9,San Francisco 49ers
n,Start,9,Kansas City Chiefs
n,Start,9,Cleveland Browns
o,Sit,9,New England Patriots
n,Sit,9,Dallas Cowboys
n,Sit,9,Miami Dolphins
n,Sit,9,Pittsburgh Steelers
o,Start,9,Justin Tucker
n,Start,9,Steven Hauschka
n,Start,9,Phil Dawson
n,Start,9,Mike Nugent
o,Sit,9,Nick Novak
n,Sit,9,Brandon McManus
n,Sit,9,Chandler Catanzaro
n,Sit,9,Shaun Suisham
o,Start,9,Dwayne Allen
n,Start,9,Antonio Gates
n,Start,9,Travis Kelce
n,Start,9,Larry Donnell
n,Start,9,Jace Amaro
o,Sit,9,Vernon Davis
n,Sit,9,Zach Ertz
n,Sit,9,Heath Miller
n,Sit,9,Charles Clay
n,Sit,9,Jared Cook
o,Start,9,Jeremy Maclin
n,Start,9,T.Y. Hilton
n,Start,9,Mike Wallace
n,Start,9,DeAndre Hopkins
n,Start,9,Andrew Hawkins
o,Sit,9,Vincent Jackson
n,Sit,9,Percy Harvin
n,Sit,9,Julian Edelman
n,Sit,9,Torrey Smith
